Frame,Static 1,Static 2,Static 3,Static 4,Static 5,No Static 1,No Static 2,No Static 3,No Static 4,No Static 5
237,10.1025,10.3735,5.5718,9.2054,9.3279,5.55,5.55,8.912901,5.5599,5.7095
238,5.55,5.5648,5.55,5.562,5.5635,9.1632,11.122,5.6047,5.5717,5.5621
239,5.5842,5.5627,9.7921,5.5594,5.5613,5.6266,5.55,5.5893,10.8804,16.4031
240,8.7044,9.1317,5.5691,9.309999,10.1219,18.8275,5.5835,9.730399,5.5853,5.5706
241,5.5629,5.5653,10.5315,5.5649,5.5724,5.5775,11.1233,5.5648,9.0827,7.6177
242,5.5838,5.5713,5.6815,5.5578,5.9278,9.0237,5.55,5.55,5.5793,5.5669
243,8.8408,8.708,5.59,9.212199,9.3206,5.5631,11.0928,8.9807,5.55,5.55
244,5.9735,5.5609,9.5855,5.5665,5.8381,5.5727,5.5666,5.55,9.137401,8.698999
245,5.5678,5.55,6.13,5.5631,5.8185,8.7295,5.5559,5.5563,5.5618,6.1804
246,9.3407,9.8875,5.5678,9.5216,10.1588,5.8173,5.55,8.8986,5.5617,5.5739
247,5.5862,5.5598,16.9244,5.5632,6.152,6.2096,5.55,6.2972,8.481,9.773
248,9.2711,5.5571,5.5869,5.5619,10.7646,9.2503,11.101,5.5669,5.5616,5.5595
249,5.5646,9.0346,8.178801,8.9199,5.55,5.5676,5.5558,9.7527,5.5779,9.8757
250,5.5756,5.5559,5.5596,5.9692,6.5093,5.55,5.5744,5.5775,8.9342,5.8708
251,8.5324,5.5728,5.5636,5.5752,10.8614,8.1277,5.55,10.3677,5.5581,6.1732
252,5.7594,9.500299,9.685801,10.2558,5.5704,5.5652,5.5625,5.8228,5.655,8.9879
253,5.5791,5.5586,6.3189,5.5748,10.9804,5.5693,11.1211,5.8247,9.2467,5.5655
254,9.6851,5.5668,9.7684,10.3295,5.9027,8.8382,5.5575,11.1673,5.5607,5.5712
255,5.5573,9.724199,5.5625,5.5568,6.6831,5.5614,5.55,5.55,5.8447,8.9646
256,5.579,5.5609,5.5769,5.5658,9.6541,5.557,5.55,6.0466,10.0044,5.5637
257,9.4396,5.5681,9.0712,9.2956,6.8744,9.2239,11.0822,10.4494,5.55,5.5928
258,5.6827,9.6747,5.5609,5.7558,9.5027,5.5659,5.6013,5.5868,6.4212,8.837601
259,5.5781,5.5733,5.5677,5.5791,6.2017,5.5649,5.55,10.3836,9.275,5.5571
260,9.4214,9.6136,9.6696,10.1151,6.301,10.1177,5.55,5.5724,5.5659,5.5579
261,5.5678,5.5632,5.562,5.5567,9.8443,5.55,5.55,5.55,5.5639,9.1743
262,5.55,5.55,6.0979,5.55,5.5738,5.5719,11.1279,9.4513,9.9172,5.55
263,9.3416,9.7453,9.5428,8.5753,5.5739,9.6134,5.55,6.178,6.2968,5.566
264,5.565,5.5648,5.5641,5.5672,9.6703,5.5715,11.1062,5.7833,8.807401,10.5001
265,5.5727,5.55,5.5716,5.5638,6.4415,9.651601,5.5675,10.7088,5.55,5.5619
266,10.1253,9.565001,9.4462,9.2238,6.6231,5.55,5.55,5.5677,5.6052,5.5626
267,5.5621,5.5695,5.5639,6.0243,9.373401,5.5835,5.55,10.835,9.436,9.8
268,5.561,5.5567,5.55,5.5824,5.7721,9.247001,5.55,5.5711,5.6669,5.5677
269,8.783,9.4748,9.883101,9.7736,10.1593,5.6617,11.0822,16.6258,5.5799,10.7179
270,5.8066,5.5645,6.8332,5.7111,5.8783,5.565,5.5971,5.55,9.580199,5.55
271,5.5817,5.55,9.832601,9.9186,6.4152,9.7038,5.55,5.5693,5.5603,5.6488
272,16.2122,9.3909,5.55,5.5656,9.555599,5.5661,11.0712,8.4347,5.568,10.1247
273,5.6159,5.5596,5.5789,5.577,5.5649,5.5561,5.5614,5.5657,9.2485,5.5652
